"democracy_type","model_number","effect_name","control_set","control_variable","estimate","std_error","p_value","nobs","signif_0_05","signif_0_10"
"BMR","M1","DC_Mand_Revise2","","v2xnp_client",0.806383203287191,1.02949248961991,0.435613169456937,205,FALSE,FALSE
"BMR","M1","v2xnp_client","","v2xnp_client",0.169436667275988,0.301279860753919,0.57531361094368,205,FALSE,FALSE
"BMR","M1","DC_Mand_Revise2:v2xnp_client","","v2xnp_client",1.0365494182582,1.51621819943985,0.49603954787996,205,FALSE,FALSE
"BMR","M3","DC_Mand_Revise2","","v2xnp_client",0.843066656375716,1.01638763459163,0.407791983255874,216,FALSE,FALSE
"BMR","M3","v2xnp_client","","v2xnp_client",0.143400283022413,0.293690023393345,0.625876977307547,216,FALSE,FALSE
"BMR","M3","DC_Mand_Revise2:v2xnp_client","","v2xnp_client",1.04216931148635,1.50504465434598,0.489430375622381,216,FALSE,FALSE
"BMR","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","v2xnp_client",1.3059224472244,0.878982243225268,0.148936807980804,76,FALSE,FALSE
"BMR","M2","v2xnp_client","+debt+partisan_cons+factor(period_dummies72)","v2xnp_client",-0.180569650535245,0.604385491026968,0.76740627694539,76,FALSE,FALSE
"BMR","M2","DC_Mand_Revise2:v2xnp_client","+debt+partisan_cons+factor(period_dummies72)","v2xnp_client",0.734792482076212,2.02491613570731,0.719523280804691,76,FALSE,FALSE
"BMR","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","v2xnp_client",0.61087956764021,0.988972487035755,0.537487894794191,216,FALSE,FALSE
"BMR","M4","v2xnp_client","+debt+partisan_cons+factor(period_dummies72)","v2xnp_client",0.103354235227547,0.306902422662751,0.736654526117455,216,FALSE,FALSE
"BMR","M4","DC_Mand_Revise2:v2xnp_client","+debt+partisan_cons+factor(period_dummies72)","v2xnp_client",1.08994031428155,1.50273660934565,0.469122837269147,216,FALSE,FALSE
"BMR","M1","DC_Mand_Revise2","","v2xnp_regcorr",0.942804151016246,0.976888984172161,0.337196417963157,210,FALSE,FALSE
"BMR","M1","v2xnp_regcorr","","v2xnp_regcorr",0.334582693575649,0.261845717642672,0.20476344149991,210,FALSE,FALSE
"BMR","M1","DC_Mand_Revise2:v2xnp_regcorr","","v2xnp_regcorr",0.627519996727342,1.22385361784929,0.609446972620705,210,FALSE,FALSE
"BMR","M3","DC_Mand_Revise2","","v2xnp_regcorr",0.995685732739726,0.962425580079762,0.302082014502047,216,FALSE,FALSE
"BMR","M3","v2xnp_regcorr","","v2xnp_regcorr",0.336305445638259,0.257623877131206,0.193201497229025,216,FALSE,FALSE
"BMR","M3","DC_Mand_Revise2:v2xnp_regcorr","","v2xnp_regcorr",0.596527912711236,1.20685568112812,0.621630586054546,216,FALSE,FALSE
"BMR","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","v2xnp_regcorr",1.15539180546795,1.10537343715286,0.305175522604382,77,FALSE,FALSE
"BMR","M2","v2xnp_regcorr","+debt+partisan_cons+factor(period_dummies72)","v2xnp_regcorr",-0.046279095198218,0.838778879647921,0.956405805790495,77,FALSE,FALSE
"BMR","M2","DC_Mand_Revise2:v2xnp_regcorr","+debt+partisan_cons+factor(period_dummies72)","v2xnp_regcorr",0.897145731776473,2.21337473776729,0.688429350731035,77,FALSE,FALSE
"BMR","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","v2xnp_regcorr",0.601940964406193,0.951011115220353,0.527496487074067,216,FALSE,FALSE
"BMR","M4","v2xnp_regcorr","+debt+partisan_cons+factor(period_dummies72)","v2xnp_regcorr",-0.00493466498938402,0.294526746929237,0.986649339706084,216,FALSE,FALSE
"BMR","M4","DC_Mand_Revise2:v2xnp_regcorr","+debt+partisan_cons+factor(period_dummies72)","v2xnp_regcorr",0.95727545539404,1.19920238777844,0.425676870759522,216,FALSE,FALSE
"BMR","M1","DC_Mand_Revise2","","v2x_corr",1.09360192327596,1.01797840709677,0.285698603709188,209,FALSE,FALSE
"BMR","M1","v2x_corr","","v2x_corr",0.382987711980262,0.278279347686914,0.172310918714587,209,FALSE,FALSE
"BMR","M1","DC_Mand_Revise2:v2x_corr","","v2x_corr",0.402628968301693,1.29504235352,0.756628775979962,209,FALSE,FALSE
"BMR","M3","DC_Mand_Revise2","","v2x_corr",1.16316255067014,1.00187264472657,0.246983526859052,216,FALSE,FALSE
"BMR","M3","v2x_corr","","v2x_corr",0.414427518674106,0.27459819470965,0.132769838392531,216,FALSE,FALSE
"BMR","M3","DC_Mand_Revise2:v2x_corr","","v2x_corr",0.35227329617686,1.27597442272727,0.782760655970961,216,FALSE,FALSE
"BMR","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","v2x_corr",1.19355456726349,0.844781101894345,0.16912244698555,77,FALSE,FALSE
"BMR","M2","v2x_corr","+debt+partisan_cons+factor(period_dummies72)","v2x_corr",0.148495756497191,0.83295566939556,0.859837354792976,77,FALSE,FALSE
"BMR","M2","DC_Mand_Revise2:v2x_corr","+debt+partisan_cons+factor(period_dummies72)","v2x_corr",0.928126529928416,1.78731817019437,0.60779335566699,77,FALSE,FALSE
"BMR","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","v2x_corr",0.814515438708743,0.999435438346781,0.416062368396096,216,FALSE,FALSE
"BMR","M4","v2x_corr","+debt+partisan_cons+factor(period_dummies72)","v2x_corr",0.11862450723378,0.302941871693666,0.69579412072286,216,FALSE,FALSE
"BMR","M4","DC_Mand_Revise2:v2x_corr","+debt+partisan_cons+factor(period_dummies72)","v2x_corr",0.662136895449716,1.28355820118676,0.606526769645539,216,FALSE,FALSE
