"dc_pf_status","democracy_filter","dependent_variable","control_variable_set","extension_type","estimate","std_error","p_value","nobs","signif_0_05","signif_0_10"
TRUE,"BMR","Protest_DRS_Count_CNTS","M1","1",-2.76196483939107,0.682241562649855,5.15760315261462e-05,59,TRUE,TRUE
TRUE,"BMR","Protest_DRS_Count_CNTS","M2","1",-3.08661663268938,0.718450465924534,1.73740214154793e-05,57,TRUE,TRUE
TRUE,"BMR","Protest_DRS_Count_CNTS","M3","1",-2.73032848631814,0.691737109670686,7.91164436612836e-05,59,TRUE,TRUE
TRUE,"BMR","Protest_Count_MM","M1","1",-1.16300157694105,0.562198840220075,0.0385774480421195,37,TRUE,TRUE
TRUE,"BMR","Protest_Count_MM","M2","1",-1.18714949575438,0.566829530079433,0.0362272320390849,37,TRUE,TRUE
TRUE,"BMR","Protest_Count_MM","M3","1",-0.963507954599467,0.573545152782451,0.0929735667566165,37,FALSE,TRUE
TRUE,"V-Dem","Protest_DRS_Count_CNTS","M1","1",-2.7424579105712,0.6825110617573,5.86473424685518e-05,60,TRUE,TRUE
TRUE,"V-Dem","Protest_DRS_Count_CNTS","M2","1",-3.05692460563157,0.717790061491922,2.05526879048963e-05,58,TRUE,TRUE
TRUE,"V-Dem","Protest_DRS_Count_CNTS","M3","1",-2.73704896522531,0.690472291676819,7.36967357401986e-05,60,TRUE,TRUE
TRUE,"V-Dem","Protest_Count_MM","M1","1",-1.18821552578492,0.560504552598047,0.0340141897595277,38,TRUE,TRUE
TRUE,"V-Dem","Protest_Count_MM","M2","1",-1.20992360561932,0.564642368947314,0.0321280320794053,38,TRUE,TRUE
TRUE,"V-Dem","Protest_Count_MM","M3","1",-0.957223270739868,0.572690611675473,0.0946329827330394,38,FALSE,TRUE
TRUE,"Polity","Protest_DRS_Count_CNTS","M1","1",-2.81333168184795,0.705547240895111,6.67883364226724e-05,58,TRUE,TRUE
TRUE,"Polity","Protest_DRS_Count_CNTS","M2","1",-3.02583917315691,0.716665771513913,2.42029754095582e-05,56,TRUE,TRUE
TRUE,"Polity","Protest_DRS_Count_CNTS","M3","1",-2.93806672718658,0.748342365204481,8.63343859948355e-05,58,TRUE,TRUE
TRUE,"Polity","Protest_Count_MM","M1","1",-1.18821552578492,0.560504552598047,0.0340141897595277,38,TRUE,TRUE
TRUE,"Polity","Protest_Count_MM","M2","1",-1.20992360561932,0.564642368947314,0.0321280320794053,38,TRUE,TRUE
TRUE,"Polity","Protest_Count_MM","M3","1",-0.957223270739868,0.572690611675473,0.0946329827330394,38,FALSE,TRUE
