"democracy_type","model_number","effect_name","control_set","control_variable","interaction","estimate","std_error","p_value","nobs","signif_0_05","signif_0_10"
"BMR","M1","DC_Mand_Revise2","","urbanization","No",1.31362481489861,0.289365190889956,2.17323502096563e-05,97,TRUE,TRUE
"BMR","M1","urbanization","","urbanization","No",0.00819225226497722,0.00959340194224712,0.39592821069516,97,FALSE,FALSE
"BMR","M3","DC_Mand_Revise2","","urbanization","No",1.48421968949221,0.255554113408684,2.34503905827346e-08,216,TRUE,TRUE
"BMR","M3","urbanization","","urbanization","No",0.00915445563392042,0.00700635386944711,0.192998213573645,216,FALSE,FALSE
"BMR","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","urbanization","No",1.21046677792967,0.910647256859176,0.199510966175308,27,FALSE,FALSE
"BMR","M2","urbanization","+debt+partisan_cons+factor(period_dummies72)","urbanization","No",0.0131880124867114,0.0180851151584195,0.474761735424164,27,FALSE,FALSE
"BMR","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","urbanization","No",1.30812720684342,0.318441620789795,5.83665985359684e-05,216,TRUE,TRUE
"BMR","M4","urbanization","+debt+partisan_cons+factor(period_dummies72)","urbanization","No",0.0057000930166858,0.007988211503597,0.476464804587327,216,FALSE,FALSE
"BMR","M1","DC_Mand_Revise2","","urbanization","Yes",1.35770033255275,0.587405234105006,0.0236390483414602,97,TRUE,TRUE
"BMR","M1","urbanization","","urbanization","Yes",0.00849040623289802,0.0105759671467062,0.424695318351567,97,FALSE,FALSE
"BMR","M1","DC_Mand_Revise2:urbanization","","urbanization","Yes",-0.00104974246655405,0.0159774700484334,0.947795141972331,97,FALSE,FALSE
"BMR","M3","DC_Mand_Revise2","","urbanization","Yes",1.61590908985667,0.531785214881694,0.00268702879916691,216,TRUE,TRUE
"BMR","M3","urbanization","","urbanization","Yes",0.00969113491951907,0.00743105714656048,0.193865085552872,216,FALSE,FALSE
"BMR","M3","DC_Mand_Revise2:urbanization","","urbanization","Yes",-0.00327080143097171,0.0148681731979835,0.826100608999658,216,FALSE,FALSE
